                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0534,                 4.6677,                 1.0934,                0.00111,                0.20593,                0.08551,                0.07596,                0.79983,                 4.3011,                0.91529,             0.00015827,             0.00015827,             0.00015827
                      2,                 1.0379,                  3.646,                 1.0416,                 0.0048,                0.72736,                0.15316,                0.11364,                0.88909,                  3.881,                0.92529,             0.00032085,             0.00032085,             0.00032085
                      3,                 1.0202,                 3.0919,                 1.0094,                0.00615,                 0.8133,                0.24494,                 0.1844,                0.88622,                 3.6658,                0.93442,             0.00047931,             0.00047931,             0.00047931
                      4,                 1.0921,                 2.7968,                 1.0325,                0.55742,                0.09385,                 0.2836,                0.22156,                0.89683,                 3.5263,                0.97261,             0.00063364,             0.00063364,             0.00063364
                      5,                 1.0561,                 2.6019,                  1.031,                0.66201,                0.14756,                0.30754,                0.23047,                 0.9163,                 3.1794,                 1.0199,             0.00078385,             0.00078385,             0.00078385
                      6,                0.95182,                 2.4052,                 1.0187,                0.64327,                0.45249,                0.50899,                0.37293,                0.95646,                 2.2903,                0.99679,             0.00078146,             0.00078146,             0.00078146
                      7,                0.98982,                 2.2575,                 1.0366,                0.46348,                0.55939,                0.55709,                0.41945,                 0.9203,                 2.1114,                0.98192,             0.00078146,             0.00078146,             0.00078146
                      8,                0.97301,                 2.1103,                 1.0373,                 0.5432,                0.60603,                0.63299,                0.48932,                 0.8954,                 1.8936,                 1.0228,             0.00077115,             0.00077115,             0.00077115
                      9,                 0.9124,                 1.9561,                 1.0225,                0.55778,                0.56232,                0.63915,                0.48353,                0.88104,                 1.6909,                  0.992,             0.00076084,             0.00076084,             0.00076084
                     10,                 0.9105,                 1.8796,                 1.0047,                 0.5511,                 0.6049,                0.57258,                0.44417,                0.82233,                 1.9799,                0.96599,             0.00075053,             0.00075053,             0.00075053
                     11,                0.92885,                 1.7947,                 1.0333,                0.61637,                0.53097,                0.54993,                0.43234,                0.82983,                 1.8797,                0.96833,             0.00074022,             0.00074022,             0.00074022
                     12,                0.91473,                  1.748,                 1.0448,                0.68055,                0.65801,                0.69038,                0.53919,                0.84648,                  1.646,                0.99547,             0.00072992,             0.00072992,             0.00072992
                     13,                0.91818,                 1.6105,                 1.0023,                0.83314,                0.63006,                0.78501,                0.61878,                0.83418,                 1.3512,                0.96929,             0.00071961,             0.00071961,             0.00071961
                     14,                0.87607,                 1.5272,                 1.0057,                0.84735,                0.59979,                0.77148,                 0.6026,                0.85383,                 1.3184,                0.95751,              0.0007093,              0.0007093,              0.0007093
                     15,                0.86955,                 1.4386,                0.98661,                0.87261,                0.69438,                0.76731,                 0.6121,                0.77691,                 1.2493,                0.94356,             0.00069899,             0.00069899,             0.00069899
