                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7635,                 4.2477,                 4.2602,                0.00425,                  0.875,                0.00733,                0.00273,                 2.4147,                 3.8994,                 4.1595,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.5178,                 4.1438,                   4.28,                0.00446,                  0.875,                0.01254,                0.00418,                 2.4128,                 3.9012,                 4.1596,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 2.4808,                  4.017,                 4.2861,                0.00439,                  0.875,                0.02105,                0.00553,                 2.4089,                  3.903,                 4.1593,             0.00010695,             0.00010695,             0.00010695
                      4,                 2.3904,                  4.122,                 4.2089,                0.00331,                  0.875,                0.02973,                0.01011,                 2.4032,                 3.9047,                 4.1582,             0.00012891,             0.00012891,             0.00012891
                      5,                 2.5632,                 4.0491,                 4.1768,                0.00337,                  0.875,                0.03853,                0.01023,                 2.3952,                 3.9058,                 4.1563,             0.00014096,             0.00014096,             0.00014096
                      6,                 2.5913,                 4.0509,                 4.2127,                0.00375,                  0.875,                0.04002,                0.01197,                 2.3893,                 3.9055,                 4.1547,             0.00014311,             0.00014311,             0.00014311
                      7,                 2.4617,                 3.9649,                 4.1355,                 0.0037,                  0.875,                0.04591,                 0.0135,                 2.3777,                 3.9057,                 4.1519,             0.00013536,             0.00013536,             0.00013536
